Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,0u1,C14663
"C10, C4",0603,2,10u,C19702
"C11, C12",0603,2,15p,C1644
"C13, C17, C7, C8, C9",0603,5,1u,C15849
"C14, C15",0603,2,1p5,C1639
J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03_MountingPin,C160403
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C5184243
L2,0402,1,2n8,C27123
"R1, R2, R3, R4, R5",0603,5,5k1,C25803
R6,0603,1,0,C21189
"SW1, SW2",SW_SPST_B3U-1100P,2,SW_Push,C6467298
U1,VQFN24_RGE-B_TEX,1,CC2340R52E0RGER,C20416850
U3,SOT-23-3,1,XC6206P332MR-G,C5446
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,48M,C2925606
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32k768,C95361
